# Pinned per-scenario outcomes for vmod-dict on EL9, checked by
# `ci_matrix.py check-transaction-pins --format el9` at the end of
# recipes/el9/transactions.sh. Columns: scenario, expected dnf exit, expected
# outcome, exactly as transactions/scenario.sh classifies and summary.tsv
# records them.
#
# Pinned from the deliberate release-transactions dispatch, run 30532825959
# (2026-07-30, cohort vinyl-9.0.1-ac4f719c16f4). THREE ROWS DIFFER FROM
# cachetag AND redis, deliberately: upgrade-allowerasing,
# upgrade-allowerasing-runtime-only and distro-sync-allowerasing REMOVE
# vmod-dict with dnf exit 0 where the identical scenarios refuse for the
# libvmod-* packages. The cause is libsolv name-order tie-breaking -- vmod-dict
# sorts after vinyl-cache, so the erasure is decided before dict's keep rule is
# reached -- and the maintainer adjudicated it pass-with-documented-exception
# on 2026-07-30 (docs/20260730_1231_note_step-8-dict-el9-allowerasing-root-cause.md,
# docs/20260730_1300_note_step-8-dict-el9-adjudication.md). These three pins
# record the exception; if a
# future run refuses instead, that is a real behaviour change (a rename, a new
# dnf) and the pins move with it, in review.
sanity-candidate-installable	0	upgraded Vinyl (no VMOD installed)
upgrade	1	REFUSED the transaction, nothing changed
upgrade-best	1	REFUSED the transaction, nothing changed
upgrade-nobest	0	skipped the update, nothing changed
upgrade-skip-broken	1	REFUSED the transaction, nothing changed
upgrade-allowerasing	0	UPGRADED VINYL AND REMOVED THE VMOD
upgrade-runtime-only	1	REFUSED the transaction, nothing changed
upgrade-allowerasing-runtime-only	0	UPGRADED VINYL AND REMOVED THE VMOD
upgrade-allowerasing-nobest	0	skipped the update, nothing changed
upgrade-targeted-allowerasing	0	UPGRADED VINYL AND REMOVED THE VMOD
distro-sync	1	REFUSED the transaction, nothing changed
distro-sync-allowerasing	0	UPGRADED VINYL AND REMOVED THE VMOD
install-candidate	1	REFUSED the transaction, nothing changed
install-candidate-allowerasing	0	UPGRADED VINYL AND REMOVED THE VMOD
versionlock	1	versionlock BLOCKED the erasing transaction, nothing changed
history-undo	0	erasing install removed the VMOD; history undo restored the cohort
same-abi	1	REFUSED the transaction, nothing changed
same-abi-targeted-allowerasing	0	UPGRADED VINYL AND REMOVED THE VMOD
same-abi-install-allowerasing	0	UPGRADED VINYL AND REMOVED THE VMOD
